年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2004/4/14,14.9,8,1,18.2,8,2,11.0,8,2
2004/4/15,15.5,8,1,22.8,8,2,6.5,8,2
2004/4/16,18.2,8,1,24.1,8,2,11.1,8,2
2004/4/17,19.0,8,1,25.9,8,2,11.0,8,2
2004/4/18,20.2,8,1,26.8,8,2,11.7,8,2
2004/4/19,18.4,8,1,19.9,8,2,17.0,8,2
2004/4/20,18.7,8,1,23.1,8,2,14.9,8,2
2004/4/21,17.8,8,1,24.9,8,2,11.5,8,2
2004/4/22,20.7,8,1,28.2,8,2,12.6,8,2
2004/4/23,17.8,8,1,24.8,8,2,9.7,8,2
2004/4/24,11.9,8,1,16.4,8,2,6.8,8,2
2004/4/25,13.3,8,1,19.8,8,2,4.7,8,2
2004/4/26,15.1,8,1,21.8,8,2,7.6,8,2
2004/4/27,16.6,8,1,23.1,8,2,10.5,8,2
2004/4/28,14.3,8,1,20.2,8,2,9.6,8,2
2004/4/29,15.4,8,1,22.6,8,2,6.7,8,2
2004/4/30,16.6,8,1,22.2,8,2,9.7,8,2
2005/4/1,9.5,8,1,14.9,8,2,3.6,8,2
2005/4/2,11.3,8,1,16.4,8,2,5.6,8,2
2005/4/3,11.9,8,1,17.6,8,2,7.1,8,2
2005/4/4,9.3,8,1,13.1,8,2,5.6,8,2
2005/4/5,12.3,8,1,20.6,8,2,2.9,8,2
2005/4/6,14.1,8,1,22.4,8,2,6.5,8,2
2005/4/7,15.8,8,1,21.0,8,2,11.2,8,2
2005/4/8,17.2,8,1,23.4,8,2,12.1,8,2
2005/4/9,15.1,8,1,23.1,8,2,9.5,8,2
2005/4/10,18.7,8,1,26.2,8,2,11.8,8,2
2005/4/11,13.1,8,1,17.3,8,2,10.6,8,2
2005/4/12,9.9,8,1,10.7,8,2,9.3,8,2
2005/4/13,11.2,8,1,15.7,8,2,5.9,8,2
2005/4/14,13.0,8,1,20.1,8,2,6.0,8,2
2005/4/15,14.2,8,1,21.2,8,2,6.6,8,2
2005/4/16,14.6,8,1,19.2,8,2,8.5,8,2
2005/4/17,15.6,8,1,22.0,8,2,6.9,8,2
2005/4/18,16.6,8,1,24.0,8,2,9.8,8,2
2005/4/19,17.1,8,1,25.0,8,2,9.1,8,2
2005/4/20,15.3,8,1,17.2,8,2,13.1,8,2
2005/4/21,15.5,8,1,20.8,8,2,10.7,8,2
2005/4/22,15.3,8,1,20.6,8,2,10.9,8,2
2005/4/23,13.8,8,1,19.8,8,2,7.1,8,2
2005/4/24,14.2,8,1,20.3,8,2,6.9,8,2
2005/4/25,15.9,8,1,21.4,8,2,11.3,8,2
2005/4/26,17.7,8,1,24.3,8,2,11.2,8,2
2005/4/27,16.6,8,1,24.8,8,2,7.0,8,2
2005/4/28,19.7,8,1,27.6,8,2,10.7,8,2
2005/4/29,22.2,8,1,28.2,8,2,14.4,8,2
2005/4/30,23.5,8,1,30.5,8,2,17.9,8,2
2006/4/1,7.7,8,1,12.9,8,2,1.3,8,2
2006/4/2,11.6,8,1,15.2,8,2,8.0,8,2
2006/4/3,13.3,8,1,17.5,8,2,9.3,8,2
2006/4/4,11.1,8,1,17.2,8,2,5.8,8,2
2006/4/5,11.8,8,1,14.6,8,2,9.4,8,2
2006/4/6,9.9,8,1,15.1,8,2,4.8,8,2
2006/4/7,11.9,8,1,17.2,8,2,5.8,8,2
2006/4/8,14.7,8,1,20.1,8,2,9.7,8,2
2006/4/9,11.5,8,1,15.4,8,2,7.0,8,2
2006/4/10,11.0,8,1,14.0,8,2,8.6,8,2
2006/4/11,15.8,8,1,18.1,8,2,13.7,8,2
2006/4/12,15.7,8,1,19.3,8,2,13.2,8,2
2006/4/13,14.4,8,1,17.3,8,2,11.5,8,2
2006/4/14,11.3,8,1,13.2,8,2,8.3,8,2
2006/4/15,9.6,8,1,12.0,8,2,7.2,8,2
2006/4/16,11.3,8,1,16.6,8,2,6.0,8,2
2006/4/17,9.8,8,1,15.8,8,2,2.8,8,2
2006/4/18,13.5,8,1,21.1,8,2,5.8,8,2
2006/4/19,16.3,8,1,22.2,8,2,10.8,8,2
2006/4/20,12.4,8,1,15.7,8,2,8.0,8,2
2006/4/21,10.8,8,1,15.5,8,2,7.0,8,2
2006/4/22,9.7,8,1,14.0,8,2,5.5,8,2
2006/4/23,13.2,8,1,18.0,8,2,10.3,8,2
2006/4/24,13.9,8,1,17.1,8,2,10.5,8,2
2006/4/25,13.3,8,1,19.2,8,2,8.2,8,2
2006/4/26,10.7,8,1,15.5,8,2,6.1,8,2
2006/4/27,12.8,8,1,16.9,8,2,9.5,8,2
2006/4/28,14.1,8,1,21.5,8,2,6.4,8,2
2006/4/29,14.3,8,1,20.1,8,2,9.1,8,2
2006/4/30,18.2,8,1,24.9,8,2,10.8,8,2
2007/4/1,15.6,8,1,20.7,8,2,11.7,8,2
2007/4/2,14.3,8,1,18.7,8,2,10.8,8,2
2007/4/3,10.3,8,1,13.7,8,2,6.6,8,2
2007/4/4,7.7,8,1,11.7,8,2,4.5,8,2
2007/4/5,8.4,8,1,14.5,8,2,1.8,8,2
2007/4/6,11.3,8,1,18.3,8,2,5.0,8,2
2007/4/7,11.5,8,1,16.5,8,2,8.6,8,2
2007/4/8,11.8,8,1,18.8,8,2,4.3,8,2
2007/4/9,12.5,8,1,17.9,8,2,6.5,8,2
2007/4/10,12.6,8,1,19.9,8,2,4.5,8,2
2007/4/11,13.8,8,1,20.7,8,2,7.0,8,2
2007/4/12,14.1,8,1,21.5,8,2,6.9,8,2
2007/4/13,15.1,8,1,23.9,8,2,9.4,8,2
2007/4/14,15.4,8,1,19.7,8,2,11.5,8,2
2007/4/15,14.0,8,1,19.2,8,2,8.8,8,2
2007/4/16,11.6,8,1,14.0,8,2,10.1,8,2
